booking_id,customer_id,room_id,check_in,check_out,status,created_at
131,442,148,2024-04-23,2024-04-24,Confirmed,2024-04-23
132,432,129,2023-09-04,2023-09-14,Cancelled,2023-09-04
133,409,19,2023-11-15,2023-11-16,Confirmed,2023-11-15
134,205,158,2024-03-13,2024-03-21,Confirmed,2024-03-13
135,42,81,2024-03-26,2024-04-08,Cancelled,2024-03-26
136,100,114,2024-08-12,2024-08-16,Cancelled,2024-08-12
137,262,92,2023-02-17,2023-02-27,Pending,2023-02-17
138,497,40,2024-08-04,2024-08-09,Pending,2024-08-04
139,164,137,2024-03-31,2024-04-01,Cancelled,2024-03-31
140,445,25,2024-03-21,2024-04-03,Pending,2024-03-21
141,144,30,2024-01-11,2024-01-20,Cancelled,2024-01-11
142,484,171,2023-08-12,2023-08-18,Cancelled,2023-08-12
143,142,3,2024-03-26,2024-04-04,Cancelled,2024-03-26
144,149,166,2024-01-23,2024-01-24,Confirmed,2024-01-23
145,236,103,2023-09-17,2023-09-27,Cancelled,2023-09-17
146,200,136,2024-05-12,2024-05-21,Pending,2024-05-12
147,8,56,2024-03-07,2024-03-11,Cancelled,2024-03-07
148,335,62,2023-05-25,2023-06-02,Pending,2023-05-25
149,298,9,2023-02-16,2023-03-01,Pending,2023-02-16
150,275,11,2023-09-24,2023-09-25,Pending,2023-09-24
151,399,76,2024-10-19,2024-10-22,Pending,2024-10-19
152,347,197,2023-09-15,2023-09-20,Pending,2023-09-15
153,317,66,2024-10-08,2024-10-10,Cancelled,2024-10-08
154,174,157,2023-05-16,2023-05-22,Confirmed,2023-05-16
155,243,38,2024-10-26,2024-11-01,Pending,2024-10-26
156,47,18,2024-07-23,2024-07-29,Cancelled,2024-07-23
157,241,140,2024-05-21,2024-06-01,Confirmed,2024-05-21
158,281,144,2024-12-26,2025-01-06,Confirmed,2024-12-26
159,367,136,2024-01-27,2024-02-02,Confirmed,2024-01-27
160,66,67,2024-02-09,2024-02-21,Cancelled,2024-02-09
161,395,106,2024-08-28,2024-09-09,Pending,2024-08-28
162,155,62,2023-08-26,2023-09-03,Confirmed,2023-08-26
163,370,165,2023-07-13,2023-07-14,Cancelled,2023-07-13
164,358,162,2023-03-14,2023-03-23,Confirmed,2023-03-14
165,287,147,2024-09-23,2024-09-28,Pending,2024-09-23
166,194,62,2024-10-24,2024-10-31,Cancelled,2024-10-24
167,431,55,2023-08-28,2023-09-11,Cancelled,2023-08-28
168,357,194,2023-10-31,2023-11-13,Pending,2023-10-31
169,277,86,2024-12-10,2024-12-24,Confirmed,2024-12-10
170,4,160,2024-07-31,2024-08-03,Cancelled,2024-07-31
171,355,164,2023-08-07,2023-08-16,Cancelled,2023-08-07
172,157,17,2023-11-05,2023-11-13,Cancelled,2023-11-05
173,234,182,2023-07-29,2023-08-12,Cancelled,2023-07-29
174,152,197,2024-04-03,2024-04-06,Cancelled,2024-04-03
175,361,180,2024-11-01,2024-11-04,Cancelled,2024-11-01
176,311,84,2023-09-28,2023-09-29,Cancelled,2023-09-28
177,241,131,2023-07-10,2023-07-19,Cancelled,2023-07-10
178,425,143,2025-02-04,2025-02-10,Pending,2025-02-04
179,365,37,2024-12-18,2024-12-27,Pending,2024-12-18
180,160,117,2025-01-08,2025-01-11,Pending,2025-01-08
181,412,28,2023-06-18,2023-06-22,Confirmed,2023-06-18
182,151,129,2025-01-17,2025-01-28,Confirmed,2025-01-17
183,430,152,2025-01-29,2025-02-07,Cancelled,2025-01-29
184,193,69,2024-10-10,2024-10-18,Confirmed,2024-10-10
185,461,181,2023-11-09,2023-11-19,Pending,2023-11-09
186,167,122,2024-10-01,2024-10-02,Cancelled,2024-10-01
187,452,54,2024-09-07,2024-09-14,Cancelled,2024-09-07
188,168,191,2023-05-13,2023-05-15,Confirmed,2023-05-13
189,306,30,2024-06-20,2024-06-23,Pending,2024-06-20
190,272,19,2023-10-30,2023-11-04,Confirmed,2023-10-30
191,62,14,2023-12-18,2023-12-24,Confirmed,2023-12-18
192,73,178,2023-12-12,2023-12-20,Cancelled,2023-12-12
193,68,84,2024-11-19,2024-11-24,Confirmed,2024-11-19
194,428,111,2023-09-21,2023-10-02,Cancelled,2023-09-21
195,219,200,2023-12-08,2023-12-22,Confirmed,2023-12-08
196,301,190,2023-03-15,2023-03-22,Confirmed,2023-03-15
197,298,169,2023-05-13,2023-05-18,Cancelled,2023-05-13
198,205,180,2025-02-05,2025-02-16,Pending,2025-02-05
199,35,114,2023-04-11,2023-04-18,Cancelled,2023-04-11
200,445,107,2024-06-12,2024-06-15,Pending,2024-06-12
201,234,153,2023-04-11,2023-04-18,Cancelled,2023-04-11
202,314,95,2024-12-02,2024-12-06,Cancelled,2024-12-02
203,485,56,2024-10-30,2024-11-13,Confirmed,2024-10-30
204,231,168,2024-07-25,2024-08-04,Confirmed,2024-07-25
205,23,181,2023-05-11,2023-05-19,Cancelled,2023-05-11
206,376,187,2023-05-02,2023-05-11,Pending,2023-05-02
207,82,176,2025-01-30,2025-02-05,Cancelled,2025-01-30
208,12,82,2024-12-07,2024-12-13,Confirmed,2024-12-07
209,257,104,2023-05-18,2023-05-26,Confirmed,2023-05-18
210,274,110,2024-11-14,2024-11-27,Cancelled,2024-11-14
211,334,11,2023-05-25,2023-06-01,Pending,2023-05-25
212,340,139,2023-11-15,2023-11-21,Confirmed,2023-11-15
213,64,17,2023-11-26,2023-11-27,Pending,2023-11-26
214,46,141,2023-12-16,2023-12-18,Confirmed,2023-12-16
215,280,97,2024-06-05,2024-06-18,Pending,2024-06-05
216,180,155,2024-11-22,2024-12-03,Confirmed,2024-11-22
217,179,162,2024-03-13,2024-03-22,Cancelled,2024-03-13
218,308,188,2024-10-26,2024-10-30,Confirmed,2024-10-26
219,355,30,2025-01-25,2025-01-29,Confirmed,2025-01-25
220,34,10,2024-09-30,2024-10-14,Cancelled,2024-09-30
221,299,125,2024-09-29,2024-10-05,Pending,2024-09-29
222,154,108,2023-06-07,2023-06-12,Confirmed,2023-06-07
223,214,43,2023-07-26,2023-08-05,Confirmed,2023-07-26
224,171,84,2023-05-15,2023-05-24,Confirmed,2023-05-15
225,182,178,2024-02-09,2024-02-15,Confirmed,2024-02-09
226,153,27,2023-11-21,2023-11-28,Pending,2023-11-21
227,479,85,2024-03-31,2024-04-12,Confirmed,2024-03-31
228,484,7,2024-02-06,2024-02-19,Pending,2024-02-06
229,396,195,2024-07-05,2024-07-15,Cancelled,2024-07-05
230,66,61,2023-11-22,2023-12-06,Cancelled,2023-11-22
231,340,107,2023-12-28,2024-01-10,Pending,2023-12-28
232,379,167,2024-09-12,2024-09-16,Cancelled,2024-09-12
233,280,34,2023-11-04,2023-11-18,Cancelled,2023-11-04
234,266,155,2024-11-02,2024-11-15,Confirmed,2024-11-02
235,114,51,2023-06-17,2023-06-30,Confirmed,2023-06-17
236,333,194,2025-01-26,2025-02-05,Cancelled,2025-01-26
237,47,187,2023-04-12,2023-04-15,Cancelled,2023-04-12
238,292,123,2024-05-18,2024-05-25,Pending,2024-05-18
239,447,32,2024-09-26,2024-10-04,Confirmed,2024-09-26
240,198,85,2025-02-09,2025-02-13,Pending,2025-02-09
241,496,175,2023-11-12,2023-11-24,Confirmed,2023-11-12
242,118,12,2024-04-26,2024-05-02,Confirmed,2024-04-26
243,426,71,2024-07-11,2024-07-20,Confirmed,2024-07-11
244,414,59,2024-07-28,2024-08-07,Confirmed,2024-07-28
245,440,179,2023-05-10,2023-05-11,Pending,2023-05-10
246,204,43,2023-07-31,2023-08-07,Cancelled,2023-07-31
247,70,130,2024-04-01,2024-04-10,Confirmed,2024-04-01
248,96,58,2023-08-24,2023-08-31,Confirmed,2023-08-24
249,362,110,2023-04-09,2023-04-11,Pending,2023-04-09
250,293,22,2024-05-14,2024-05-21,Confirmed,2024-05-14
251,304,188,2023-05-05,2023-05-15,Cancelled,2023-05-05
252,416,114,2024-06-23,2024-07-07,Confirmed,2024-06-23
253,193,67,2024-03-04,2024-03-16,Confirmed,2024-03-04
254,439,40,2023-09-19,2023-10-02,Pending,2023-09-19
255,479,56,2023-03-21,2023-03-31,Cancelled,2023-03-21
256,59,199,2024-10-29,2024-10-31,Cancelled,2024-10-29
257,154,48,2025-01-28,2025-02-11,Cancelled,2025-01-28
258,253,56,2024-02-14,2024-02-20,Confirmed,2024-02-14
259,207,89,2023-04-17,2023-04-27,Pending,2023-04-17
260,475,3,2024-09-10,2024-09-23,Confirmed,2024-09-10
261,54,9,2023-05-27,2023-06-03,Pending,2023-05-27
262,436,173,2023-07-18,2023-07-22,Confirmed,2023-07-18
263,3,130,2025-01-26,2025-02-06,Pending,2025-01-26
264,291,100,2025-01-05,2025-01-07,Pending,2025-01-05
265,314,37,2024-06-04,2024-06-13,Pending,2024-06-04
266,372,114,2023-08-31,2023-09-05,Confirmed,2023-08-31
267,464,126,2023-09-05,2023-09-06,Confirmed,2023-09-05
268,182,171,2025-01-22,2025-01-26,Pending,2025-01-22
269,348,147,2024-03-01,2024-03-06,Pending,2024-03-01
270,186,186,2024-07-15,2024-07-17,Cancelled,2024-07-15
271,18,100,2023-12-02,2023-12-04,Pending,2023-12-02
272,81,138,2023-08-22,2023-08-26,Confirmed,2023-08-22
273,52,186,2024-05-16,2024-05-18,Pending,2024-05-16
274,93,87,2024-12-02,2024-12-15,Pending,2024-12-02
275,155,58,2024-09-07,2024-09-08,Pending,2024-09-07
276,429,195,2023-07-25,2023-07-28,Pending,2023-07-25
277,128,3,2024-01-06,2024-01-10,Pending,2024-01-06
278,84,94,2025-01-06,2025-01-15,Cancelled,2025-01-06
279,36,21,2024-10-08,2024-10-15,Confirmed,2024-10-08
280,425,141,2024-10-04,2024-10-17,Pending,2024-10-04
281,235,175,2023-12-07,2023-12-16,Cancelled,2023-12-07
282,173,65,2023-03-17,2023-03-21,Pending,2023-03-17
283,395,16,2025-01-15,2025-01-22,Confirmed,2025-01-15
284,51,15,2024-05-06,2024-05-12,Pending,2024-05-06
285,41,198,2024-02-20,2024-02-27,Confirmed,2024-02-20
286,130,5,2023-04-29,2023-05-08,Pending,2023-04-29
287,268,196,2024-01-05,2024-01-16,Cancelled,2024-01-05
288,262,50,2024-07-06,2024-07-11,Cancelled,2024-07-06
289,77,37,2023-04-30,2023-05-07,Confirmed,2023-04-30
290,323,98,2024-04-07,2024-04-19,Pending,2024-04-07
291,487,153,2023-03-28,2023-04-02,Confirmed,2023-03-28
292,447,176,2024-11-07,2024-11-13,Confirmed,2024-11-07
293,188,97,2023-09-22,2023-09-24,Confirmed,2023-09-22
294,385,67,2024-10-14,2024-10-22,Confirmed,2024-10-14
295,7,146,2024-09-13,2024-09-15,Confirmed,2024-09-13
296,92,55,2024-08-05,2024-08-06,Pending,2024-08-05
297,438,48,2024-02-04,2024-02-13,Confirmed,2024-02-04
298,483,188,2023-04-09,2023-04-19,Cancelled,2023-04-09
299,296,172,2024-09-04,2024-09-11,Cancelled,2024-09-04
300,78,156,2024-05-10,2024-05-24,Cancelled,2024-05-10
301,329,4,2023-04-04,2023-04-11,Confirmed,2023-04-04
302,95,89,2023-10-29,2023-11-01,Confirmed,2023-10-29
303,193,162,2024-09-21,2024-10-01,Confirmed,2024-09-21
304,102,142,2024-07-17,2024-07-30,Pending,2024-07-17
305,332,98,2023-10-13,2023-10-15,Pending,2023-10-13
306,488,156,2023-07-16,2023-07-23,Cancelled,2023-07-16
307,365,45,2024-10-25,2024-11-05,Confirmed,2024-10-25
308,396,85,2025-01-30,2025-02-10,Cancelled,2025-01-30
309,69,10,2024-02-08,2024-02-18,Pending,2024-02-08
310,275,137,2024-01-01,2024-01-06,Confirmed,2024-01-01
311,191,175,2023-06-14,2023-06-18,Cancelled,2023-06-14
312,81,112,2024-11-12,2024-11-25,Pending,2024-11-12
313,490,58,2025-01-22,2025-02-04,Pending,2025-01-22
314,485,154,2024-07-12,2024-07-20,Pending,2024-07-12
315,302,130,2024-07-05,2024-07-16,Confirmed,2024-07-05
316,107,13,2024-04-20,2024-04-24,Pending,2024-04-20
317,151,128,2024-07-09,2024-07-19,Pending,2024-07-09
318,40,181,2023-06-18,2023-06-29,Cancelled,2023-06-18
319,226,136,2024-08-09,2024-08-15,Confirmed,2024-08-09
320,270,75,2023-10-09,2023-10-16,Cancelled,2023-10-09
321,225,122,2023-08-29,2023-09-09,Confirmed,2023-08-29
322,492,129,2024-07-29,2024-08-09,Cancelled,2024-07-29
323,91,6,2024-03-28,2024-04-06,Cancelled,2024-03-28
324,72,194,2024-05-04,2024-05-09,Cancelled,2024-05-04
325,134,158,2023-11-03,2023-11-10,Confirmed,2023-11-03
326,295,131,2024-12-24,2025-01-03,Cancelled,2024-12-24
327,10,25,2024-07-26,2024-07-27,Pending,2024-07-26
328,390,100,2024-01-02,2024-01-08,Cancelled,2024-01-02
329,391,49,2024-06-28,2024-07-08,Cancelled,2024-06-28
330,35,68,2024-06-13,2024-06-15,Pending,2024-06-13
331,295,96,2024-11-22,2024-12-04,Confirmed,2024-11-22
332,177,11,2024-01-01,2024-01-03,Cancelled,2024-01-01
333,419,7,2023-10-09,2023-10-14,Cancelled,2023-10-09
334,478,49,2024-12-03,2024-12-13,Pending,2024-12-03
335,129,136,2023-10-12,2023-10-15,Cancelled,2023-10-12
336,106,141,2023-04-28,2023-05-04,Pending,2023-04-28
337,86,2,2024-09-05,2024-09-13,Confirmed,2024-09-05
338,390,173,2024-08-25,2024-09-03,Cancelled,2024-08-25
339,203,91,2023-03-31,2023-04-14,Cancelled,2023-03-31
340,399,15,2024-09-29,2024-10-13,Cancelled,2024-09-29
341,79,79,2023-12-04,2023-12-15,Pending,2023-12-04
342,206,92,2023-02-27,2023-02-28,Confirmed,2023-02-27
343,227,127,2023-08-13,2023-08-19,Pending,2023-08-13
344,474,124,2023-02-26,2023-03-08,Confirmed,2023-02-26
345,447,19,2024-10-09,2024-10-22,Cancelled,2024-10-09
346,485,110,2024-02-05,2024-02-08,Cancelled,2024-02-05
347,363,36,2023-12-14,2023-12-21,Cancelled,2023-12-14
348,9,65,2024-10-27,2024-11-04,Pending,2024-10-27
349,208,187,2024-10-22,2024-10-30,Cancelled,2024-10-22
350,245,135,2024-02-12,2024-02-20,Pending,2024-02-12
351,266,47,2023-04-09,2023-04-10,Cancelled,2023-04-09
352,33,21,2024-06-28,2024-07-02,Confirmed,2024-06-28
353,154,94,2024-03-25,2024-03-28,Cancelled,2024-03-25
354,21,114,2025-01-26,2025-02-07,Confirmed,2025-01-26
355,444,39,2024-07-12,2024-07-14,Confirmed,2024-07-12
356,426,77,2024-01-18,2024-01-25,Confirmed,2024-01-18
357,132,8,2024-02-03,2024-02-13,Confirmed,2024-02-03
358,206,147,2023-03-09,2023-03-17,Cancelled,2023-03-09
359,197,127,2024-05-23,2024-06-02,Cancelled,2024-05-23
360,244,92,2024-04-09,2024-04-10,Pending,2024-04-09
361,167,86,2024-03-29,2024-04-10,Confirmed,2024-03-29
362,210,97,2024-07-12,2024-07-14,Cancelled,2024-07-12
363,217,20,2024-02-24,2024-03-08,Cancelled,2024-02-24
364,474,140,2024-10-15,2024-10-17,Confirmed,2024-10-15
365,385,195,2025-01-18,2025-01-31,Pending,2025-01-18
366,337,109,2024-02-05,2024-02-07,Cancelled,2024-02-05
367,42,176,2024-07-14,2024-07-26,Pending,2024-07-14
368,72,142,2024-12-04,2024-12-18,Confirmed,2024-12-04
369,2,158,2024-08-17,2024-08-24,Cancelled,2024-08-17
370,204,159,2023-03-22,2023-04-05,Confirmed,2023-03-22
371,115,115,2023-08-22,2023-09-01,Cancelled,2023-08-22
372,241,147,2023-05-18,2023-05-27,Cancelled,2023-05-18
373,207,96,2025-01-24,2025-02-04,Pending,2025-01-24
374,418,80,2023-07-04,2023-07-12,Cancelled,2023-07-04
375,214,133,2025-02-10,2025-02-18,Cancelled,2025-02-10
376,418,81,2024-08-04,2024-08-06,Pending,2024-08-04
377,204,52,2023-11-13,2023-11-24,Confirmed,2023-11-13
378,178,130,2025-01-16,2025-01-17,Pending,2025-01-16
379,234,15,2023-03-13,2023-03-15,Cancelled,2023-03-13
380,45,20,2024-08-25,2024-09-05,Cancelled,2024-08-25
381,285,84,2023-12-29,2024-01-06,Cancelled,2023-12-29
382,23,117,2024-01-28,2024-02-10,Cancelled,2024-01-28
383,283,108,2025-02-03,2025-02-07,Cancelled,2025-02-03
384,355,126,2023-08-27,2023-09-03,Pending,2023-08-27
385,37,126,2023-08-29,2023-09-12,Cancelled,2023-08-29
386,401,22,2024-09-13,2024-09-18,Confirmed,2024-09-13
387,178,165,2023-06-04,2023-06-15,Confirmed,2023-06-04
388,358,124,2024-02-29,2024-03-04,Cancelled,2024-02-29
389,308,71,2024-08-16,2024-08-29,Confirmed,2024-08-16
390,195,160,2024-03-10,2024-03-22,Confirmed,2024-03-10
391,292,135,2024-04-06,2024-04-09,Confirmed,2024-04-06
392,28,134,2023-07-14,2023-07-18,Cancelled,2023-07-14
393,183,2,2024-12-11,2024-12-13,Pending,2024-12-11
394,86,115,2024-02-13,2024-02-22,Confirmed,2024-02-13
395,222,77,2023-08-23,2023-09-05,Pending,2023-08-23
396,361,74,2023-07-04,2023-07-15,Pending,2023-07-04
397,494,152,2023-11-19,2023-11-20,Pending,2023-11-19
398,317,177,2023-05-20,2023-05-24,Cancelled,2023-05-20
399,308,30,2024-09-02,2024-09-04,Pending,2024-09-02
400,369,186,2024-04-23,2024-04-30,Confirmed,2024-04-23
401,333,191,2024-11-09,2024-11-22,Confirmed,2024-11-09
402,362,200,2023-12-25,2023-12-29,Pending,2023-12-25
403,91,159,2024-12-29,2025-01-03,Cancelled,2024-12-29
404,451,75,2023-05-30,2023-06-05,Pending,2023-05-30
405,482,94,2024-01-29,2024-01-30,Cancelled,2024-01-29
406,304,92,2023-04-24,2023-04-29,Cancelled,2023-04-24
407,181,168,2024-08-13,2024-08-23,Confirmed,2024-08-13
408,429,102,2024-07-31,2024-08-03,Confirmed,2024-07-31
409,399,139,2023-10-30,2023-11-07,Confirmed,2023-10-30
410,139,110,2023-05-31,2023-06-04,Pending,2023-05-31
411,471,92,2024-12-25,2024-12-28,Confirmed,2024-12-25
412,304,127,2023-06-27,2023-07-04,Pending,2023-06-27
413,281,62,2024-04-24,2024-04-27,Cancelled,2024-04-24
414,79,29,2025-01-05,2025-01-19,Cancelled,2025-01-05
415,302,137,2024-06-20,2024-06-21,Confirmed,2024-06-20
416,133,176,2024-03-13,2024-03-17,Confirmed,2024-03-13
417,291,81,2024-02-12,2024-02-22,Pending,2024-02-12
418,206,168,2023-10-31,2023-11-12,Pending,2023-10-31
419,132,92,2024-11-15,2024-11-16,Pending,2024-11-15
420,101,46,2024-11-27,2024-12-09,Pending,2024-11-27
421,126,50,2024-06-04,2024-06-15,Cancelled,2024-06-04
422,173,66,2024-12-20,2024-12-21,Cancelled,2024-12-20
423,52,26,2024-09-13,2024-09-25,Cancelled,2024-09-13
424,329,153,2023-06-29,2023-07-07,Confirmed,2023-06-29
425,345,101,2023-10-31,2023-11-07,Pending,2023-10-31
426,403,97,2024-03-06,2024-03-12,Pending,2024-03-06
427,140,200,2023-10-25,2023-10-31,Cancelled,2023-10-25
428,291,189,2024-07-09,2024-07-18,Pending,2024-07-09
429,460,195,2023-06-11,2023-06-19,Confirmed,2023-06-11
430,119,179,2023-10-16,2023-10-30,Pending,2023-10-16
