usage_id,booking_id,service_id,quantity,total_price
369,85,7,1,86
370,4802,3,4,520
371,4626,7,5,430
372,75,6,1,27
373,3438,8,1,96
374,4082,6,4,108
375,599,7,4,344
376,3257,1,5,560
377,2999,6,1,27
378,1354,5,5,620
379,4497,3,2,260
380,2547,8,3,288
381,3284,2,2,164
382,3324,5,3,372
383,4226,3,5,650
384,2534,7,1,86
385,371,8,5,480
386,1184,1,1,112
387,563,1,1,112
388,3476,3,2,260
389,1404,1,2,224
390,4285,5,5,620
391,4945,8,1,96
392,3279,7,5,430
393,2497,5,1,124
394,551,7,4,344
395,994,1,5,560
396,4174,8,3,288
397,4785,7,2,172
398,1505,3,1,130
399,830,5,3,372
400,3567,8,2,192
401,4884,7,2,172
402,1540,8,5,480
403,3085,2,3,246
404,90,3,3,390
405,2326,6,2,54
406,3195,9,4,424
407,121,6,1,27
408,1504,2,2,164
409,1259,9,1,106
410,812,7,5,430
411,1539,8,4,384
412,2049,4,4,92
413,1148,9,2,212
414,3890,9,3,318
415,4799,1,3,336
416,1151,2,4,328
417,3020,1,1,112
418,4065,6,1,27
419,491,8,4,384
420,4664,2,3,246
421,1552,6,1,27
422,769,9,5,530
423,2471,2,3,246
424,1400,1,4,448
425,4852,9,4,424
426,3778,9,4,424
427,1652,4,2,46
428,4701,7,5,430
429,467,5,1,124
430,4446,8,3,288
431,2437,5,3,372
432,3843,1,3,336
433,380,1,5,560
434,811,9,3,318
435,4401,3,2,260
436,1911,2,1,82
437,1214,4,5,115
438,117,2,3,246
439,1939,4,1,23
440,2108,8,2,192
441,50,4,3,69
442,4366,9,5,530
443,1109,2,5,410
444,995,6,5,135
445,665,6,1,27
446,3736,9,5,530
447,4640,1,1,112
448,1029,5,5,620
449,3097,6,4,108
450,3443,5,2,248
451,39,7,2,172
452,658,6,3,81
453,2630,8,5,480
454,2531,2,4,328
455,2875,9,5,530
456,817,7,1,86
457,714,3,2,260
458,2633,8,1,96
459,3864,3,2,260
460,1202,2,3,246
461,2862,8,2,192
462,3500,3,3,390
463,2399,1,2,224
464,4147,9,4,424
465,747,8,1,96
466,3411,5,4,496
467,4736,4,2,46
468,2452,8,2,192
469,2487,6,5,135
470,2702,3,1,130
471,256,5,4,496
472,2205,9,5,530
473,955,4,3,69
474,1622,9,3,318
475,4763,4,5,115
476,3494,1,2,224
477,4306,6,3,81
478,1375,9,5,530
479,2948,5,3,372
480,190,5,3,372
481,3921,4,2,46
482,22,2,2,164
483,4447,9,5,530
484,825,7,1,86
485,228,7,4,344
486,3870,4,4,92
487,4190,4,3,69
488,476,2,4,328
489,749,4,5,115
490,3999,9,3,318
491,1777,3,5,650
492,4868,9,4,424
493,10,1,3,336
494,2200,5,5,620
495,4968,2,3,246
496,3314,6,3,81
497,4388,9,4,424
498,3749,9,4,424
499,2924,7,1,86
500,737,1,1,112
501,1463,2,2,164
502,4603,2,3,246
503,4313,4,4,92
504,916,2,5,410
505,3507,6,3,81
506,3831,7,5,430
507,402,2,1,82
508,828,6,3,81
509,1980,1,5,560
510,1932,9,2,212
511,2541,8,1,96
512,3998,3,3,390
513,4892,8,5,480
514,2385,9,3,318
515,78,6,4,108
516,3432,6,4,108
517,70,7,5,430
518,4372,6,2,54
519,1325,5,1,124
520,317,3,3,390
521,374,7,4,344
522,3277,8,3,288
523,531,9,3,318
524,1245,4,2,46
525,57,2,1,82
526,2993,2,5,410
527,4386,2,4,328
528,2548,2,4,328
529,2511,8,2,192
530,2192,4,4,92
531,2233,6,3,81
532,2177,6,5,135
533,974,9,2,212
534,4710,1,1,112
535,2909,3,3,390
536,2725,9,2,212
537,3448,1,4,448
538,2154,5,2,248
539,4659,3,1,130
540,3803,3,3,390
541,3709,5,2,248
542,1592,2,3,246
543,4074,3,2,260
544,1694,7,1,86
545,3134,4,3,69
546,981,2,2,164
547,1201,8,4,384
548,3869,2,3,246
549,1404,9,5,530
550,4404,9,5,530
551,2327,7,3,258
552,1011,3,3,390
553,4898,3,4,520
554,4733,3,1,130
555,3757,9,4,424
556,292,3,1,130
557,360,8,5,480
558,2400,1,2,224
559,4900,5,5,620
560,1554,7,3,258
561,4976,6,4,108
562,4818,4,1,23
563,952,2,5,410
564,3078,3,1,130
565,3500,6,3,81
566,3649,8,1,96
567,608,5,2,248
568,3025,8,4,384
569,1162,1,4,448
570,1842,2,3,246
571,3652,3,3,390
572,73,4,3,69
573,2099,8,1,96
574,1113,7,2,172
575,3934,4,4,92
576,4610,5,4,496
577,3587,6,5,135
578,3284,3,2,260
579,4204,7,4,344
580,4720,4,4,92
581,2740,6,4,108
582,4739,1,3,336
583,3479,5,1,124
584,4843,8,4,384
585,2110,7,2,172
586,3590,6,4,108
587,1240,5,4,496
588,2950,2,2,164
589,3788,8,1,96
590,3893,9,3,318
591,3308,2,5,410
592,4801,5,5,620
593,4825,8,1,96
594,4505,4,4,92
595,3475,6,1,27
596,767,7,1,86
597,560,6,4,108
598,1207,1,2,224
599,385,4,4,92
600,4141,9,2,212
601,1721,9,2,212
602,4425,4,3,69
603,1473,6,4,108
604,369,7,5,430
605,1164,2,5,410
606,3802,4,2,46
607,3064,1,4,448
608,4583,5,2,248
609,2329,4,2,46
610,3162,6,2,54
611,3550,3,4,520
612,4583,4,1,23
613,1062,7,2,172
614,331,8,3,288
615,1255,2,3,246
616,3085,7,3,258
617,2462,1,3,336
618,584,6,1,27
619,3232,2,2,164
620,4249,4,2,46
621,2398,4,1,23
622,923,4,2,46
623,3790,6,5,135
624,426,6,4,108
625,4179,8,5,480
626,523,6,4,108
627,2140,9,2,212
628,2702,4,1,23
629,1776,4,2,46
630,1621,4,4,92
631,3278,2,2,164
632,1242,3,1,130
633,2060,1,1,112
634,208,3,1,130
635,868,5,2,248
636,349,9,5,530
637,80,6,3,81
638,3389,7,4,344
639,2067,7,5,430
640,3836,6,1,27
641,4353,9,2,212
642,735,9,4,424
643,3276,8,2,192
644,3231,6,5,135
645,2489,6,2,54
646,876,7,5,430
647,3331,2,3,246
648,563,8,2,192
649,70,7,3,258
650,4011,7,2,172
651,4060,7,5,430
652,2659,8,4,384
653,4990,5,3,372
654,1965,5,1,124
655,3316,6,1,27
656,3766,7,5,430
657,3684,2,2,164
658,743,1,5,560
659,3424,8,1,96
660,1050,6,3,81
661,1660,9,1,106
662,4206,4,3,69
663,184,4,2,46
664,3572,1,1,112
665,2103,4,5,115
666,187,4,3,69
667,2552,4,1,23
668,1608,5,4,496
669,3588,2,4,328
670,938,6,1,27
671,1505,2,2,164
672,2537,2,5,410
673,528,8,3,288
674,4534,8,4,384
675,2921,2,5,410
676,4067,9,2,212
677,1247,1,3,336
678,3733,2,5,410
679,2195,7,1,86
680,629,8,4,384
681,1792,6,2,54
682,745,2,5,410
683,3379,6,5,135
684,4800,1,1,112
685,2646,2,5,410
686,4,5,5,620
687,2719,1,5,560
688,1208,7,2,172
689,3664,6,5,135
690,1317,7,2,172
691,1012,5,2,248
692,1795,7,4,344
693,3076,4,2,46
694,3239,1,2,224
695,2813,4,1,23
696,1066,8,1,96
697,4188,9,5,530
698,1789,8,1,96
699,4823,7,3,258
700,11,3,5,650
701,2974,5,5,620
702,3962,7,2,172
703,3609,8,4,384
704,922,8,3,288
705,1038,8,3,288
706,296,3,5,650
707,1336,2,5,410
708,2333,2,2,164
709,203,7,1,86
710,1667,9,5,530
711,4918,9,2,212
712,577,2,1,82
713,4488,8,1,96
714,4345,4,3,69
715,4560,4,2,46
716,302,3,3,390
717,1229,2,5,410
718,633,8,1,96
719,2566,5,2,248
720,1828,2,2,164
721,1039,1,4,448
722,937,3,4,520
723,1415,5,3,372
724,4277,1,2,224
725,1299,1,1,112
726,2280,9,2,212
727,4740,8,5,480
728,2258,5,5,620
729,2811,3,5,650
730,91,9,5,530
731,1821,2,2,164
732,3768,9,5,530
733,1840,7,2,172
734,398,2,1,82
735,3933,4,4,92
736,4757,2,1,82
737,4259,1,4,448
738,4922,2,5,410
739,270,9,1,106
740,4349,8,5,480
741,4829,8,5,480
742,820,1,5,560
743,4515,2,4,328
744,4855,2,1,82
745,2565,9,1,106
746,4385,3,4,520
747,3629,9,3,318
748,1557,6,2,54
749,533,1,2,224
750,4888,5,3,372
751,550,7,2,172
752,3714,3,4,520
753,3214,3,4,520
754,421,9,1,106
755,2240,7,4,344
756,4054,8,3,288
757,3974,7,5,430
758,1964,9,2,212
759,2789,7,2,172
760,4965,2,3,246
761,612,4,4,92
762,3138,9,5,530
763,419,1,1,112
764,4927,7,2,172
765,2151,8,2,192
766,230,9,4,424
767,2324,2,2,164
768,1535,7,5,430
769,1150,9,1,106
770,2536,2,4,328
771,3490,2,3,246
772,2029,4,4,92
773,1462,8,5,480
774,2907,6,1,27
775,3128,1,2,224
776,4049,6,5,135
777,747,1,5,560
778,2656,2,3,246
779,3640,6,3,81
780,912,6,2,54
781,3508,5,4,496
782,763,7,3,258
783,3019,3,3,390
784,2400,7,3,258
785,2250,1,4,448
786,3708,4,1,23
787,3480,5,4,496
788,1822,6,3,81
789,4523,6,5,135
790,2532,4,1,23
791,3728,5,3,372
792,3238,4,1,23
793,4354,6,2,54
794,3686,6,2,54
795,2066,7,5,430
796,3465,6,5,135
797,882,2,5,410
798,3178,6,3,81
799,3422,2,1,82
800,4952,5,3,372
801,633,9,2,212
802,7,2,5,410
803,3367,1,2,224
804,3382,4,3,69
805,4877,9,4,424
806,1451,8,1,96
807,1869,9,5,530
808,1784,7,2,172
809,4453,3,2,260
810,1130,6,4,108
811,335,2,4,328
812,59,5,3,372
813,4156,4,4,92
814,4788,5,3,372
815,310,7,1,86
816,1932,6,5,135
817,1298,4,5,115
818,3686,8,3,288
819,1793,5,4,496
820,725,7,2,172
821,4387,1,1,112
822,2041,5,3,372
823,400,7,2,172
824,4837,1,1,112
825,2306,2,5,410
826,853,2,1,82
827,4185,4,2,46
828,3405,9,3,318
829,1720,3,3,390
830,271,4,3,69
831,830,4,1,23
832,4268,3,4,520
833,1857,9,1,106
834,2293,4,1,23
835,4368,4,1,23
836,1767,4,2,46
837,3361,9,1,106
838,2332,4,1,23
839,2168,8,1,96
840,730,1,5,560
841,1515,8,2,192
842,4447,4,2,46
843,570,2,4,328
844,1799,8,2,192
845,759,7,5,430
846,4539,4,4,92
847,2077,6,4,108
848,1661,5,5,620
849,2488,5,1,124
850,255,6,3,81
851,941,9,3,318
852,2200,5,2,248
853,1937,5,3,372
854,2733,3,5,650
855,4366,6,1,27
856,3410,9,4,424
857,4505,7,2,172
858,898,4,5,115
859,3077,8,1,96
860,1900,2,3,246
861,1630,5,4,496
862,3716,7,2,172
863,3904,8,3,288
864,4827,7,4,344
865,1987,2,4,328
866,1430,1,3,336
867,1733,7,4,344
868,4397,9,3,318
869,2899,1,1,112
870,3547,7,2,172
871,2666,4,4,92
872,1953,6,5,135
873,1468,4,4,92
874,2909,3,2,260
875,4331,7,4,344
876,1976,5,5,620
877,3879,3,1,130
878,1802,3,3,390
879,4028,5,1,124
880,507,8,3,288
881,4979,1,1,112
882,2587,2,5,410
883,2887,3,1,130
884,431,6,2,54
885,92,6,3,81
886,3697,2,1,82
887,2796,3,1,130
888,2214,7,5,430
889,998,1,5,560
890,3652,4,3,69
891,1324,3,3,390
892,3447,5,2,248
893,4724,8,4,384
894,3862,2,4,328
895,3582,2,4,328
896,3711,8,5,480
897,2934,9,5,530
898,4949,1,5,560
899,3450,1,1,112
900,1969,7,5,430
901,3033,6,2,54
902,4029,9,2,212
903,4425,4,2,46
904,2685,3,4,520
905,4398,4,5,115
906,4059,5,4,496
907,4625,2,1,82
908,1276,6,5,135
909,3933,1,3,336
910,1986,3,3,390
911,3767,4,3,69
912,228,5,3,372
913,2201,4,3,69
914,2540,1,2,224
915,1225,5,4,496
916,662,5,5,620
917,4853,5,5,620
918,4105,3,5,650
919,4481,9,4,424
920,4849,2,2,164
921,2600,4,1,23
922,3809,5,5,620
923,2756,7,2,172
924,2170,8,3,288
925,1824,9,4,424
926,3162,4,1,23
927,827,4,3,69
928,2277,4,1,23
929,764,1,2,224
930,4289,1,2,224
931,4923,1,5,560
932,894,6,5,135
933,3283,7,4,344
934,4056,2,4,328
935,2916,1,5,560
936,2572,3,3,390
937,4709,4,1,23
938,2474,2,3,246
939,2948,8,2,192
940,1156,9,2,212
941,1571,5,5,620
942,2781,2,1,82
943,388,4,3,69
944,3503,5,1,124
945,2645,3,1,130
946,3362,7,4,344
947,4942,9,2,212
948,3692,8,4,384
949,1947,1,3,336
950,304,4,1,23
951,4385,4,3,69
952,1112,3,5,650
953,2402,2,5,410
954,2772,5,4,496
955,3948,7,2,172
956,1271,9,2,212
957,2040,5,1,124
958,3926,7,2,172
959,1262,5,2,248
960,2689,8,2,192
961,4257,3,2,260
962,4852,5,2,248
963,3374,3,2,260
964,3684,6,2,54
965,1876,3,2,260
966,3549,3,3,390
967,3228,5,4,496
968,4660,2,4,328
969,2345,7,4,344
970,2079,7,2,172
971,1408,6,5,135
972,734,4,5,115
973,989,4,4,92
974,2976,6,1,27
975,1390,3,1,130
976,1115,8,3,288
977,4664,2,5,410
978,873,3,3,390
979,4851,9,3,318
980,1863,3,2,260
981,3196,8,5,480
982,614,8,5,480
983,3651,8,3,288
984,4638,9,2,212
985,4286,1,5,560
986,1819,5,1,124
987,4545,8,5,480
988,2919,8,2,192
989,1944,9,5,530
990,2532,9,5,530
991,1283,9,1,106
992,3638,3,3,390
993,4273,2,1,82
994,2702,9,2,212
995,425,5,1,124
996,4322,3,4,520
997,1964,7,3,258
998,1516,4,3,69
999,45,6,3,81
1000,2245,6,5,135
1001,1290,6,3,81
1002,640,6,3,81
1003,3541,7,2,172
1004,2250,1,4,448
1005,2601,1,3,336
1006,2787,3,1,130
1007,3329,8,5,480
1008,836,3,4,520
1009,2536,7,1,86
1010,1271,8,5,480
1011,1423,7,5,430
1012,3020,4,2,46
1013,4908,1,2,224
1014,3483,9,2,212
1015,3890,3,5,650
1016,4439,4,1,23
1017,2139,5,3,372
1018,2194,8,5,480
1019,519,3,1,130
1020,3677,6,3,81
1021,1756,1,5,560
1022,1168,9,3,318
1023,4448,8,1,96
1024,3130,1,4,448
1025,4910,8,5,480
1026,1992,7,1,86
1027,3675,3,5,650
1028,894,3,2,260
1029,3460,9,5,530
1030,4700,5,3,372
1031,1726,4,1,23
1032,1324,4,5,115
1033,2884,9,1,106
1034,1193,1,5,560
1035,3847,3,1,130
1036,3801,8,4,384
1037,1544,5,3,372
1038,4210,6,3,81
1039,3108,7,3,258
1040,4955,4,3,69
1041,2732,8,2,192
1042,413,8,1,96
1043,3331,1,4,448
1044,3905,6,4,108
1045,675,9,4,424
1046,4088,1,1,112
1047,3277,9,1,106
1048,1937,2,3,246
1049,4432,2,4,328
1050,278,6,5,135
1051,3717,1,3,336
1052,3265,1,5,560
1053,592,8,3,288
1054,705,1,1,112
1055,4642,8,5,480
1056,2663,4,1,23
1057,43,1,3,336
1058,833,1,3,336
1059,411,8,1,96
1060,4550,3,2,260
1061,1312,3,4,520
1062,4375,6,2,54
1063,188,7,3,258
1064,476,6,5,135
1065,65,5,2,248
1066,2335,6,1,27
1067,4393,6,3,81
1068,4078,2,2,164
1069,4388,7,2,172
1070,1384,5,5,620
1071,14,2,4,328
1072,3649,3,5,650
1073,958,5,5,620
1074,4034,7,5,430
1075,2818,1,3,336
1076,1174,8,3,288
1077,1778,6,1,27
1078,4375,9,5,530
1079,1408,4,3,69
1080,3164,4,3,69
1081,2075,3,1,130
1082,2139,1,5,560
1083,2184,9,1,106
1084,2798,6,1,27
1085,1373,7,3,258
1086,908,4,1,23
1087,3234,3,5,650
1088,1349,6,5,135
1089,4164,6,5,135
1090,3005,9,1,106
1091,4682,2,1,82
1092,2169,9,5,530
1093,1601,3,4,520
1094,4331,1,5,560
1095,1437,7,5,430
1096,2965,9,2,212
1097,4704,1,5,560
1098,2618,4,2,46
1099,3465,6,2,54
1100,1638,7,4,344
1101,3168,7,5,430
1102,2442,9,2,212
1103,2206,8,2,192
1104,4669,4,2,46
1105,2010,9,4,424
1106,4130,8,3,288
1107,2111,8,1,96
1108,3053,8,3,288
1109,815,7,4,344
1110,2474,6,5,135
1111,2449,8,3,288
1112,685,3,1,130
1113,3055,5,5,620
1114,1327,5,1,124
1115,3535,2,2,164
1116,4862,7,5,430
1117,2111,4,5,115
1118,1957,6,2,54
1119,4746,2,4,328
1120,2915,4,1,23
1121,4434,9,1,106
1122,3781,4,4,92
1123,807,2,5,410
1124,3462,8,1,96
1125,1004,9,2,212
1126,4039,1,5,560
1127,165,2,5,410
1128,2495,9,2,212
1129,3097,8,3,288
1130,4322,6,1,27
1131,925,3,2,260
1132,2192,5,4,496
1133,2560,5,5,620
1134,1379,9,4,424
1135,1701,7,2,172
1136,2638,7,2,172
1137,1412,2,4,328
1138,2394,8,3,288
1139,960,7,1,86
1140,4944,4,5,115
1141,3247,5,5,620
1142,1739,8,3,288
1143,1515,6,4,108
1144,4832,2,1,82
1145,75,9,3,318
1146,3353,8,2,192
1147,2944,9,3,318
1148,547,6,1,27
1149,2998,6,4,108
1150,3324,4,2,46
1151,4064,5,4,496
1152,4724,3,4,520
1153,2992,8,2,192
1154,1056,7,4,344
1155,318,7,5,430
1156,1530,8,4,384
1157,196,1,4,448
1158,2183,3,2,260
1159,4910,2,3,246
1160,3472,5,1,124
1161,4130,8,2,192
1162,2614,2,1,82
1163,3337,2,1,82
1164,760,6,2,54
1165,4319,2,3,246
1166,3789,4,2,46
1167,964,2,2,164
1168,499,3,4,520
1169,3312,9,2,212
1170,2548,1,5,560
1171,3571,4,4,92
1172,4632,3,1,130
1173,3360,7,2,172
1174,4079,9,3,318
1175,560,1,4,448
1176,3916,5,4,496
1177,600,5,2,248
1178,4441,3,4,520
1179,4934,8,3,288
1180,2348,7,3,258
1181,1855,8,5,480
1182,3378,5,2,248
1183,62,7,5,430
1184,4968,6,2,54
1185,1386,2,4,328
1186,2412,5,1,124
1187,4151,4,1,23
1188,2460,4,1,23
1189,1372,7,1,86
1190,401,9,1,106
1191,3767,6,3,81
1192,143,3,2,260
1193,601,5,4,496
1194,2447,4,5,115
1195,1529,3,2,260
1196,45,8,3,288
1197,4143,8,5,480
1198,3025,9,4,424
1199,2151,1,3,336
1200,2359,4,1,23
1201,4341,2,1,82
1202,3256,8,1,96
1203,3172,4,2,46
1204,2837,5,1,124
1205,2234,6,3,81
1206,572,2,2,164
1207,3556,7,3,258
1208,1292,1,1,112
1209,2676,4,1,23
1210,936,5,5,620
1211,1553,2,4,328
1212,1602,1,3,336
1213,2085,5,2,248
1214,1034,5,2,248
1215,2938,8,4,384
1216,3883,1,4,448
1217,4510,7,4,344
1218,200,7,3,258
1219,255,9,5,530
1220,4627,7,5,430
1221,90,4,4,92
1222,1053,8,3,288
1223,3236,3,5,650
1224,1058,4,3,69
1225,340,3,1,130
1226,3627,5,1,124
1227,4670,4,2,46
1228,230,3,3,390
1229,3650,2,2,164
1230,4460,1,5,560
1231,24,3,3,390
1232,1805,2,5,410
1233,826,5,2,248
1234,4878,3,4,520
1235,3177,6,2,54
1236,926,3,3,390
1237,1687,1,3,336
1238,2406,6,4,108
1239,1963,3,3,390
1240,1253,8,3,288
1241,495,1,2,224
1242,566,3,5,650
1243,1755,6,2,54
1244,1860,2,2,164
1245,2814,2,5,410
1246,672,4,1,23
1247,3939,8,4,384
1248,4519,5,5,620
1249,4743,3,3,390
1250,4408,6,3,81
1251,3770,7,2,172
1252,352,8,5,480
1253,3165,5,3,372
1254,14,4,2,46
1255,3636,6,3,81
1256,2587,9,1,106
1257,4768,4,4,92
1258,4268,6,2,54
1259,2603,2,4,328
1260,931,9,5,530
1261,1215,2,3,246
1262,223,3,5,650
1263,2818,6,2,54
1264,2778,3,4,520
1265,2574,8,5,480
1266,3137,6,5,135
1267,4252,5,3,372
1268,3067,9,2,212
