payment_id,booking_id,amount,payment_method,payment_date
216,4461,1385,Credit Card,2024-08-31
217,358,548,Credit Card,2024-10-01
218,2010,1113,Crypto,2023-04-21
219,3,731,Crypto,2024-07-22
220,1824,1536,Crypto,2024-11-05
221,4003,122,Credit Card,2023-05-19
222,2286,1209,Cash,2023-08-23
223,906,1459,PayPal,2024-02-06
224,2132,653,Cash,2023-04-20
225,2107,537,PayPal,2023-12-01
226,2538,363,Credit Card,2023-08-15
227,94,1422,Bank Transfer,2024-12-23
228,3817,1228,PayPal,2024-11-29
229,3412,1559,Credit Card,2023-11-12
230,3368,859,Bank Transfer,2023-10-22
231,1695,561,Cash,2023-09-17
232,2628,1238,Crypto,2023-06-21
233,3143,1031,Crypto,2023-09-14
234,4448,357,Credit Card,2024-09-05
235,4978,1725,Cash,2025-01-12
236,1665,1889,Bank Transfer,2025-01-02
237,2406,1191,Credit Card,2024-01-25
238,3854,1832,Credit Card,2024-07-01
239,4558,1205,PayPal,2023-09-25
240,3074,453,Crypto,2024-12-17
241,3197,182,Credit Card,2024-06-28
242,680,1526,PayPal,2024-01-14
243,106,643,PayPal,2023-03-03
244,2097,384,Credit Card,2023-10-27
245,3118,1880,Cash,2024-01-11
246,4635,1502,Bank Transfer,2023-03-18
247,111,1901,Crypto,2024-07-15
248,4647,1240,Crypto,2023-09-19
249,3293,1970,Credit Card,2024-05-14
250,540,406,Credit Card,2023-03-01
251,1891,1426,Cash,2024-01-28
252,2557,1855,Cash,2024-09-09
253,3848,1246,Crypto,2023-07-31
254,4864,1146,Bank Transfer,2023-06-03
255,593,1660,Bank Transfer,2024-07-17
256,34,1647,Credit Card,2024-10-06
257,3535,848,Cash,2023-07-16
258,4715,994,Cash,2023-08-31
259,1325,347,Bank Transfer,2024-06-29
260,3317,1437,Credit Card,2024-09-14
261,481,1107,Crypto,2024-08-11
262,1251,1939,Bank Transfer,2025-01-27
263,4332,175,Cash,2023-12-11
264,2856,723,Credit Card,2025-01-19
265,2648,476,Crypto,2023-09-12
266,1109,1088,Credit Card,2023-02-28
267,1077,1547,Credit Card,2023-07-10
268,1217,189,Crypto,2024-08-05
269,636,1797,Cash,2023-02-23
270,1163,419,PayPal,2023-03-22
271,822,1928,Credit Card,2023-11-27
272,2237,1734,Cash,2023-03-21
273,1355,222,PayPal,2023-11-07
274,4541,1070,Credit Card,2025-01-05
275,3629,1466,Crypto,2023-09-10
276,250,263,Bank Transfer,2024-07-23
277,4307,309,Bank Transfer,2023-02-21
278,4332,1239,Cash,2023-03-04
279,4098,1200,Credit Card,2025-01-31
280,4396,1430,Cash,2024-11-11
281,1249,1996,Bank Transfer,2023-07-13
282,3240,1224,Cash,2024-06-25
283,542,478,Bank Transfer,2023-05-24
284,415,489,Bank Transfer,2024-03-03
285,4277,572,Bank Transfer,2023-08-30
286,989,1158,Bank Transfer,2024-09-01
287,15,521,Crypto,2023-06-11
288,2367,582,Bank Transfer,2025-01-29
289,4304,1261,PayPal,2023-11-03
290,1537,1012,PayPal,2024-08-17
291,2510,1472,Cash,2023-12-28
292,1236,308,PayPal,2024-11-01
293,4372,1839,Cash,2024-10-23
294,1630,421,Cash,2024-12-28
295,1114,1188,Cash,2024-06-24
296,1088,351,Credit Card,2024-08-30
297,4450,1473,Bank Transfer,2024-02-15
298,3809,1637,Credit Card,2024-06-08
299,86,506,PayPal,2024-03-05
300,2970,665,Cash,2024-01-15
301,3464,1205,PayPal,2024-06-04
302,2316,795,Cash,2025-01-30
303,2295,1959,Crypto,2025-02-09
304,4970,960,Bank Transfer,2024-09-30
305,2870,81,PayPal,2023-02-15
306,2680,343,Cash,2024-04-07
307,3402,681,PayPal,2024-02-22
308,40,1774,PayPal,2023-04-01
309,995,1551,Bank Transfer,2023-04-02
310,939,1641,PayPal,2023-03-26
311,1017,1595,Cash,2024-11-12
312,1453,1860,Cash,2023-07-01
313,4760,1087,Credit Card,2025-01-15
314,2165,548,PayPal,2023-12-13
315,2639,1724,Crypto,2024-08-11
316,1265,1292,Cash,2024-02-29
317,2964,163,Credit Card,2023-06-19
318,1202,1029,Bank Transfer,2023-06-04
319,3083,1418,Bank Transfer,2023-09-20
320,1778,1365,Crypto,2024-07-05
321,2142,988,Crypto,2023-04-15
322,4122,1543,Crypto,2024-06-30
323,1944,1887,Bank Transfer,2023-03-22
324,667,247,Cash,2024-02-01
325,363,1786,Cash,2024-11-15
326,4411,578,PayPal,2023-04-27
327,197,323,Credit Card,2025-01-11
328,4298,1388,PayPal,2023-03-16
329,1522,1644,PayPal,2024-09-18
330,408,537,Cash,2023-07-01
331,809,1188,Credit Card,2024-01-12
332,4710,1908,PayPal,2024-06-04
333,3232,1477,Cash,2023-06-13
334,57,152,PayPal,2025-01-09
335,3823,469,Credit Card,2023-08-24
336,4740,151,Credit Card,2024-09-24
337,494,161,Cash,2025-01-08
338,3660,62,Cash,2023-11-30
339,553,1536,Credit Card,2025-01-25
340,1533,279,PayPal,2023-04-29
341,3560,1170,Bank Transfer,2024-07-31
342,174,1694,PayPal,2024-10-20
343,4870,1556,Cash,2024-08-03
344,2481,626,Cash,2025-01-06
345,3138,1919,Crypto,2025-01-16
346,3141,691,PayPal,2025-01-15
347,1128,354,Cash,2024-09-22
348,2927,1643,Credit Card,2023-03-02
349,3168,1497,Credit Card,2023-05-01
350,1082,617,Bank Transfer,2023-12-16
351,3668,1792,Credit Card,2024-06-01
352,3743,903,Bank Transfer,2024-04-02
353,3236,1839,PayPal,2024-09-08
354,2140,385,Crypto,2023-10-17
355,4491,733,PayPal,2024-03-02
356,1301,1063,Bank Transfer,2024-12-08
357,11,1329,Crypto,2023-07-11
358,824,515,Cash,2024-10-24
359,1556,606,Bank Transfer,2023-05-15
360,3268,186,PayPal,2024-01-15
361,955,1450,Cash,2024-07-19
362,239,189,Credit Card,2025-01-24
363,4028,347,Cash,2023-08-10
364,4221,510,PayPal,2023-07-26
365,559,556,Cash,2024-03-15
366,3703,52,Bank Transfer,2023-04-07
367,913,337,Cash,2024-08-24
368,3803,1612,Credit Card,2025-01-23
369,4800,873,Cash,2024-04-22
370,1128,322,Crypto,2023-11-18
371,959,1533,Cash,2023-06-19
372,679,1933,Cash,2023-03-08
373,1858,1493,Bank Transfer,2023-05-11
374,4647,738,Cash,2024-12-23
375,2649,887,PayPal,2023-11-05
376,1821,870,Crypto,2023-04-25
377,4759,1298,PayPal,2024-10-06
378,2415,1654,Crypto,2023-12-21
379,1826,52,Crypto,2024-06-07
380,1416,511,Credit Card,2024-08-22
381,4506,1112,Cash,2024-03-28
382,4618,674,Bank Transfer,2024-03-10
383,2096,1134,PayPal,2024-01-11
384,1544,1910,Bank Transfer,2024-03-10
385,2293,1761,Crypto,2023-07-21
386,4933,1355,PayPal,2023-04-24
387,641,206,Credit Card,2024-09-05
388,153,1151,PayPal,2023-06-24
389,3401,421,Crypto,2023-10-02
390,2847,1438,PayPal,2024-10-28
391,1011,1558,Credit Card,2023-09-03
392,4837,95,Cash,2023-08-16
393,4847,1605,PayPal,2024-04-29
394,4456,483,Cash,2023-07-06
395,2001,1118,Cash,2024-08-28
396,4897,565,Crypto,2024-10-30
397,1611,1372,Crypto,2023-09-27
398,1195,941,Crypto,2023-03-13
399,3758,591,Credit Card,2023-04-20
400,487,921,Credit Card,2025-02-08
401,101,494,Credit Card,2023-06-26
402,4869,371,PayPal,2024-06-11
403,2973,730,PayPal,2024-01-28
404,2779,1420,PayPal,2024-04-02
405,3215,1529,Credit Card,2024-09-06
406,990,70,PayPal,2024-10-30
407,3944,503,Cash,2024-02-22
408,3695,742,Bank Transfer,2023-08-27
409,3171,461,PayPal,2024-11-03
410,4906,1923,PayPal,2023-07-26
411,1609,1418,PayPal,2024-09-27
412,1174,84,PayPal,2023-03-13
413,1062,1968,PayPal,2023-04-26
414,1747,1102,PayPal,2024-07-03
415,2265,315,Crypto,2024-11-12
416,161,859,PayPal,2023-10-29
417,121,1216,Bank Transfer,2023-04-27
418,1510,207,Credit Card,2023-04-22
419,311,1742,Cash,2023-02-18
420,1011,1697,Bank Transfer,2023-06-25
421,1619,1014,Bank Transfer,2023-02-15
422,3871,587,Crypto,2023-11-05
423,1878,425,Crypto,2023-08-23
424,2322,816,Bank Transfer,2024-11-03
425,1382,1722,Crypto,2024-12-18
426,3412,1195,Cash,2023-07-12
427,810,1822,Cash,2024-11-26
428,4509,754,Crypto,2023-09-23
429,172,588,Crypto,2023-08-01
430,3892,244,Crypto,2023-12-09
431,1686,1113,Bank Transfer,2024-07-22
432,2111,278,PayPal,2023-10-24
433,1248,1615,PayPal,2024-03-17
434,2904,587,Credit Card,2023-11-21
435,4689,1022,Credit Card,2024-03-31
436,3677,1428,Crypto,2024-04-20
437,3774,1647,PayPal,2024-04-22
438,1648,149,Bank Transfer,2025-01-19
439,464,1085,Bank Transfer,2024-10-18
440,1001,1526,PayPal,2024-04-26
441,598,466,Crypto,2023-06-13
442,3775,247,Crypto,2024-07-04
443,3849,1777,Bank Transfer,2024-07-10
444,2042,1100,Bank Transfer,2023-05-05
445,2262,327,Bank Transfer,2023-09-02
446,3732,1826,Crypto,2024-05-13
447,1395,711,Cash,2023-07-14
448,22,1066,Credit Card,2023-06-08
449,4664,1781,Cash,2024-02-29
450,4300,1554,Bank Transfer,2024-01-24
451,931,1721,Bank Transfer,2023-09-02
452,2775,1679,Crypto,2024-01-25
453,1669,1775,Cash,2023-09-25
454,4746,1570,Credit Card,2023-03-02
455,2775,1053,Credit Card,2024-02-25
456,395,1356,Bank Transfer,2023-07-25
457,2370,799,Credit Card,2024-06-09
458,3351,1971,PayPal,2024-08-22
459,3719,1104,PayPal,2024-12-12
460,4587,823,Bank Transfer,2024-08-01
461,265,1937,Credit Card,2023-12-12
462,644,645,PayPal,2024-11-24
463,1471,526,Cash,2024-08-25
464,4539,1875,Bank Transfer,2023-05-04
465,3635,1698,Crypto,2024-02-18
466,4360,1150,PayPal,2024-02-07
467,77,709,Cash,2023-09-15
468,2234,1870,Cash,2024-12-02
469,672,1659,Cash,2023-03-21
470,2463,288,Cash,2024-07-11
471,3694,252,Bank Transfer,2023-04-30
472,1085,99,Credit Card,2024-02-16
473,866,1744,Crypto,2023-10-03
474,739,1664,PayPal,2023-05-12
475,2225,1832,Credit Card,2023-05-03
476,731,129,Bank Transfer,2024-01-10
477,4949,458,Bank Transfer,2024-10-22
478,2501,566,Cash,2023-09-23
479,1503,93,Cash,2024-01-24
480,4841,1008,Credit Card,2025-01-10
481,3572,1062,Credit Card,2024-01-08
482,3813,540,PayPal,2023-12-21
483,1292,667,Bank Transfer,2024-05-15
484,571,954,Credit Card,2024-06-23
485,1873,264,Crypto,2023-02-25
486,3853,560,Credit Card,2024-04-16
487,4138,268,Cash,2024-11-25
488,3463,1129,Credit Card,2025-01-11
489,1007,1819,Cash,2024-04-29
490,1066,1314,Cash,2024-12-31
491,2074,462,Bank Transfer,2024-08-10
492,3868,705,Cash,2024-09-21
493,3505,1896,Bank Transfer,2023-12-30
494,3551,1622,Bank Transfer,2023-08-04
495,32,218,Cash,2024-12-12
496,1638,517,Cash,2023-04-19
497,4840,1861,Cash,2023-03-17
498,2927,848,Bank Transfer,2024-06-15
499,4411,1820,Crypto,2023-08-17
500,4616,1063,PayPal,2025-01-23
501,362,630,Bank Transfer,2023-04-14
502,1776,211,Cash,2023-09-08
503,2923,70,PayPal,2024-08-31
504,4673,1241,PayPal,2023-12-25
505,4663,1841,Crypto,2023-05-13
506,2526,1147,PayPal,2023-09-16
507,3091,1382,Crypto,2023-08-08
508,2938,1631,Crypto,2023-05-01
509,1020,1656,Cash,2025-02-04
510,381,219,PayPal,2024-11-20
511,2205,1055,PayPal,2024-09-04
512,1878,1256,Cash,2023-07-06
513,2750,1729,PayPal,2024-08-02
514,1062,711,Crypto,2024-08-19
515,1102,252,Credit Card,2023-05-02
516,13,118,Cash,2023-12-23
517,2748,1888,Credit Card,2023-04-15
518,3021,934,Cash,2023-12-10
519,3298,738,Crypto,2024-11-25
520,2729,290,Bank Transfer,2024-09-15
521,4424,1874,PayPal,2025-01-27
522,941,992,Credit Card,2023-06-11
523,375,591,Crypto,2023-11-24
524,4904,1826,Credit Card,2024-02-11
525,1067,537,Cash,2023-07-20
526,275,903,Bank Transfer,2024-02-10
527,999,1004,Crypto,2024-03-05
528,1233,238,Bank Transfer,2023-07-18
529,3653,1191,Credit Card,2023-03-18
530,1151,1961,Cash,2024-08-13
531,2502,484,PayPal,2024-11-29
532,2947,1109,Bank Transfer,2024-06-25
533,4918,1397,Cash,2025-02-02
534,2340,1590,Bank Transfer,2024-05-01
535,3866,436,PayPal,2024-09-09
536,1898,1444,Cash,2024-04-27
537,3771,1024,Bank Transfer,2024-03-22
538,2640,670,PayPal,2023-09-20
539,1496,1630,PayPal,2024-05-21
540,3659,1715,Cash,2024-08-12
541,1604,1523,Bank Transfer,2024-07-19
542,1740,392,Credit Card,2023-10-06
543,3453,1188,Cash,2023-07-01
544,973,992,Cash,2024-06-11
545,3159,1118,Crypto,2024-06-20
546,4310,625,Crypto,2023-12-28
547,499,1079,PayPal,2023-11-02
548,1332,1696,PayPal,2024-06-25
549,4813,1869,Cash,2023-05-02
550,1033,292,Crypto,2023-05-23
551,4120,994,Bank Transfer,2023-09-25
552,3868,180,Credit Card,2024-04-17
553,1730,954,Cash,2024-07-04
554,3591,1073,Bank Transfer,2023-05-21
555,3236,377,Cash,2023-11-03
556,2316,89,Bank Transfer,2023-11-11
557,2473,1318,PayPal,2023-07-29
558,322,292,Cash,2023-06-16
559,4108,1589,Bank Transfer,2024-08-10
560,3228,180,PayPal,2024-05-30
561,2380,594,Cash,2023-04-05
562,1984,1500,Cash,2023-09-06
563,4224,1766,Crypto,2023-03-03
564,1258,263,PayPal,2023-04-01
565,194,1082,Bank Transfer,2023-04-27
566,520,682,PayPal,2024-09-11
567,1292,362,Crypto,2024-12-28
568,2674,1827,PayPal,2024-05-07
569,240,80,PayPal,2024-04-22
570,948,870,Crypto,2023-08-11
571,60,1330,Cash,2023-04-07
572,360,393,Cash,2023-04-19
573,3867,512,Cash,2023-04-07
574,1037,341,Credit Card,2024-06-18
575,2128,852,Crypto,2024-08-01
576,3723,1111,Bank Transfer,2024-05-24
577,1940,1570,Credit Card,2023-11-11
578,3131,1940,Bank Transfer,2023-08-10
579,3901,129,Bank Transfer,2023-05-17
580,4343,912,Crypto,2024-05-01
581,400,1024,Cash,2024-11-13
582,1605,1047,Bank Transfer,2024-08-08
583,2431,608,Credit Card,2023-04-10
584,2024,521,Cash,2024-05-23
585,4777,219,Cash,2024-09-20
586,2679,78,PayPal,2023-07-25
587,4457,223,PayPal,2023-04-02
588,643,1777,Bank Transfer,2023-04-07
589,2397,487,PayPal,2024-08-11
590,804,94,Credit Card,2023-03-26
591,3232,287,Bank Transfer,2024-11-23
592,4899,1000,PayPal,2024-11-04
593,4077,1720,PayPal,2023-10-31
594,1706,1289,Crypto,2024-02-06
595,4516,1716,Crypto,2023-12-15
596,3479,309,Bank Transfer,2024-09-21
597,3568,71,Bank Transfer,2024-11-25
598,3322,892,PayPal,2023-02-18
599,3788,1679,Credit Card,2024-05-17
600,181,1505,Cash,2023-11-29
601,1215,585,PayPal,2024-01-25
602,3777,120,PayPal,2024-02-18
603,1472,261,Crypto,2023-08-29
604,1457,535,Credit Card,2024-04-19
605,4435,1887,Bank Transfer,2023-06-10
606,4173,138,Bank Transfer,2024-09-14
607,4687,1548,Bank Transfer,2023-08-12
608,1345,406,Credit Card,2023-08-31
609,3908,921,Crypto,2023-07-14
610,1262,938,Bank Transfer,2024-12-01
611,2553,945,Credit Card,2024-11-03
612,9,1816,PayPal,2023-10-10
613,1710,1743,Credit Card,2024-02-09
614,2151,428,Credit Card,2024-09-06
615,576,1760,Cash,2023-10-18
616,1398,734,Bank Transfer,2023-10-02
617,366,212,Crypto,2024-03-22
618,1566,1559,Bank Transfer,2023-06-21
619,2655,546,Cash,2024-02-20
620,3781,1259,Crypto,2024-07-14
621,3533,919,PayPal,2023-03-14
622,1698,1453,Cash,2024-10-16
623,1973,1918,PayPal,2023-11-02
624,1285,552,Credit Card,2023-02-17
625,2056,761,Bank Transfer,2024-08-19
626,4199,1271,Crypto,2023-05-10
627,2898,310,Bank Transfer,2023-10-10
628,2155,1793,Bank Transfer,2024-07-16
629,4083,1136,Credit Card,2023-10-14
630,2300,251,Cash,2023-11-05
631,2683,371,Bank Transfer,2024-04-06
632,2026,818,Bank Transfer,2024-10-02
633,1990,212,Credit Card,2024-09-23
634,2554,485,Cash,2023-11-20
635,691,86,Cash,2024-03-31
636,1740,1747,Crypto,2024-08-04
637,2138,1150,Bank Transfer,2024-01-05
638,125,167,Bank Transfer,2023-04-28
639,1527,91,Cash,2023-02-28
640,1905,1174,Bank Transfer,2024-01-15
641,2515,1642,Crypto,2024-01-07
642,3568,1994,PayPal,2024-01-26
643,1063,1425,Bank Transfer,2024-08-25
644,2082,1924,Credit Card,2023-10-26
645,3851,1080,Crypto,2023-03-04
646,33,742,Crypto,2023-07-10
647,3393,1308,PayPal,2023-05-29
648,3316,660,Cash,2024-08-20
649,2457,393,Crypto,2024-07-06
650,4884,156,Cash,2024-08-31
651,4957,918,PayPal,2023-05-08
652,2680,977,Crypto,2024-08-12
653,2359,690,Cash,2024-05-28
654,3108,987,Crypto,2024-05-04
655,2769,669,Credit Card,2023-07-07
656,923,96,Cash,2024-04-20
657,4881,928,PayPal,2023-10-25
658,1267,1954,PayPal,2024-10-06
659,4035,455,Bank Transfer,2023-11-09
660,2182,779,Credit Card,2023-06-13
661,3624,597,Cash,2024-05-21
662,1442,829,Bank Transfer,2023-05-03
663,3450,1584,Bank Transfer,2024-04-22
664,194,1131,Crypto,2023-06-23
665,2504,379,Bank Transfer,2024-11-13
666,772,1407,Bank Transfer,2024-11-26
667,158,237,Credit Card,2024-03-08
668,506,1308,PayPal,2023-09-10
669,1854,402,Bank Transfer,2024-01-23
670,4124,1911,Cash,2024-03-02
671,673,243,Bank Transfer,2023-10-21
672,4443,1564,Crypto,2024-04-05
673,2569,1880,Bank Transfer,2023-09-11
674,2967,1728,Credit Card,2023-08-17
675,188,1829,Credit Card,2024-12-02
676,1532,1810,Credit Card,2024-10-18
677,1120,657,Bank Transfer,2024-08-23
678,2947,1666,Crypto,2023-03-27
679,755,625,Credit Card,2023-12-23
680,328,1088,Crypto,2024-03-23
681,3154,1094,PayPal,2024-07-19
682,3674,1875,Credit Card,2024-02-19
683,1548,1418,Credit Card,2024-09-10
684,1164,497,Credit Card,2023-06-11
685,2596,194,PayPal,2023-12-16
686,15,579,Bank Transfer,2024-07-14
687,3043,1791,PayPal,2024-11-08
688,1017,1294,Crypto,2024-10-11
689,1600,340,Bank Transfer,2024-05-16
690,240,153,Bank Transfer,2024-05-06
691,943,1285,Cash,2023-08-03
692,2317,183,PayPal,2023-05-09
693,3540,602,Bank Transfer,2024-02-02
694,3020,1519,Credit Card,2024-03-19
695,2327,836,PayPal,2024-11-30
696,3742,803,Credit Card,2024-10-31
697,1072,1418,Credit Card,2024-11-29
698,2177,1494,PayPal,2024-03-22
699,1728,474,Cash,2024-07-01
700,3776,1948,Credit Card,2024-04-15
701,2472,1122,Credit Card,2024-05-01
